key,en,ja,ko,zh-CN
layers.select,Select {{name}},{{name}} を選択,{{name}} 선택,选择 {{name}}
layers.deselect,Deselect {{name}},{{name}} の選択を解除,{{name}} 선택 해제,取消选择 {{name}}
layers.selected,SELECTED,選択中,선택됨,已选择
layers.editingHelp,Near layers move farther. Hide or tune each cutout without rerunning AI.,近いレイヤーほど大きく動きます。AI を再実行せずに各カットアウトを非表示または調整できます。,가까운 레이어가 더 크게 움직입니다. AI를 다시 실행하지 않고 각 컷아웃을 숨기거나 조정할 수 있습니다.,较近的图层移动幅度更大。无需重新运行 AI 即可隐藏或调整各剪切图。
layers.background,Background,背景,배경,背景
layers.foregroundGeneric,Foreground layer,前景レイヤー,전경 레이어,前景图层
layers.backgroundDetail,Background plate / 0 depth,背景プレート / 深度 0,배경 플레이트 / 깊이 0,背景底图 / 深度 0
layers.sceneLayer,Scene layer,シーンレイヤー,장면 레이어,场景图层
layers.paintBackgroundTitle,Paint an area to fully redraw on the background,背景で全面再描画する領域を塗る,배경에서 완전히 다시 그릴 영역 칠하기,涂抹要在背景上完全重绘的区域
layers.powerpaintRequired,Layer inpainting requires local PowerPaint,レイヤーインペイントにはローカル PowerPaint が必要です,레이어 인페인팅에는 로컬 PowerPaint가 필요합니다,图层修补需要本地 PowerPaint
layers.painting,Painting,描画中,칠하는 중,正在涂抹
layers.inpaint,Inpaint,インペイント,인페인트,修补
layers.disable,Disable {{name}},{{name}} を無効化,{{name}} 비활성화,禁用 {{name}}
layers.enable,Enable {{name}},{{name}} を有効化,{{name}} 활성화,启用 {{name}}
layers.on,ON,ON,켜짐,开
layers.off,OFF,OFF,꺼짐,关
layers.depthPlane,Depth plane,深度プレーン,깊이 평면,深度平面
layers.depth,{{value}} depth,深度 {{value}},깊이 {{value}},深度 {{value}}
layers.confirmed,Confirmed,確定済み,확인됨,已确认
layers.refined,Refined,調整済み,다듬어짐,已优化
layers.rough,Rough,ラフ,러프,粗略
layers.depthLabel,{{name}} depth,{{name}} の深度,{{name}} 깊이,{{name}} 深度
layers.paintLayerTitle,Paint an area to fully redraw on {{name}},{{name}} で全面再描画する領域を塗る,{{name}}에서 완전히 다시 그릴 영역 칠하기,涂抹要在 {{name}} 上完全重绘的区域
layers.edit,Edit,編集,편집,编辑
layers.cancelEditTitle,Close the mask editor without saving,保存せずにマスクエディターを閉じる,저장하지 않고 마스크 편집기 닫기,关闭蒙版编辑器且不保存
layers.refineTitle,Refine this rough mask with local mask-guided processing,ローカルのマスクガイド処理でこのラフマスクを調整,로컬 마스크 유도 처리로 이 러프 마스크 다듬기,使用本地蒙版引导处理来优化此粗略蒙版
layers.refineRequiresAI,Refine requires the Local AI engine,調整にはローカル AI エンジンが必要です,다듬기에는 로컬 AI 엔진이 필요합니다,优化需要本地 AI 引擎
layers.refining,Refining...,調整中...,다듬는 중...,正在优化...
layers.undoRefineTitle,Undo this layer's last refinement (Ctrl+Z),このレイヤーの最後の調整を元に戻す (Ctrl+Z),이 레이어의 마지막 다듬기 실행 취소 (Ctrl+Z),撤销此图层上一次优化 (Ctrl+Z)
layers.redoRefineTitle,Redo this layer's refinement (Ctrl+Y or Ctrl+Shift+Z),このレイヤーの調整をやり直す (Ctrl+Y または Ctrl+Shift+Z),이 레이어의 다듬기 다시 실행 (Ctrl+Y 또는 Ctrl+Shift+Z),重做此图层的优化 (Ctrl+Y 或 Ctrl+Shift+Z)
layers.undoing,Undoing...,元に戻しています...,실행 취소 중...,正在撤销...
layers.undoRefine,Undo refine,調整を元に戻す,다듬기 실행 취소,撤销优化
layers.redoing,Redoing...,やり直しています...,다시 실행 중...,正在重做...
layers.redoRefine,Redo refine,調整をやり直す,다듬기 다시 실행,重做优化
layers.confirming,Confirming...,確定中...,확인 중...,正在确认...
layers.manual,Added layer,追加レイヤー,추가된 레이어,添加的图层
layers.deleting,Deleting...,削除中...,삭제 중...,正在删除...
layers.deleteTitle,Delete {{name}} and its masks,{{name}} とそのマスクを削除,{{name}} 및 해당 마스크 삭제,删除 {{name}} 及其蒙版
layers.renameLabel,Layer name,レイヤー名,레이어 이름,图层名称
layers.renameTitle,Rename this layer,このレイヤーの名前を変更,이 레이어 이름 변경,重命名此图层
layers.namePlaceholder,Name this layer,レイヤー名を入力,레이어 이름 입력,为此图层命名
mask.newLayerHelp,Paint the area to add as a new foreground layer.,新しい前景レイヤーとして追加する領域を塗ります。,새 전경 레이어로 추가할 영역을 칠하세요.,涂抹要添加为新前景图层的区域。
mask.addLayer,Add layer,レイヤーを追加,레이어 추가,添加图层
mask.adding,Adding...,追加中...,추가 중...,正在添加...
build.newLayer,New foreground layer,新しい前景レイヤー,새 전경 레이어,新建前景图层
build.newLayerHelp,Brush an area to add it as a nameable layer.,領域を塗って名前を付けられるレイヤーとして追加します。,영역을 칠해 이름을 지정할 수 있는 레이어로 추가합니다.,涂抹区域，将其添加为可命名的图层。
build.addLayer,Add layer,レイヤーを追加,레이어 추가,添加图层
layers.delete,Delete,削除,삭제,删除
layers.confirm,Confirm,確定,확인,确认
camera.controls,Camera controls,カメラコントロール,카메라 컨트롤,相机控件
camera.title,Camera,カメラ,카메라,相机
camera.rig,Parallax rig,パララックスリグ,패럴랙스 리그,视差相机架
camera.reset,Reset,リセット,초기화,重置
camera.horizontal,Horizontal,水平,수평,水平
camera.vertical,Vertical,垂直,수직,垂直
camera.zoom,Zoom,ズーム,확대/축소,缩放
camera.strength,Strength,強度,강도,强度
camera.stop,Stop motion,モーション停止,모션 중지,停止运动
camera.preview,Preview motion,モーションをプレビュー,모션 미리보기,预览运动
scene.fullComposition,Full composition,コンポジション全体,전체 컴포지션,完整合成画面
scene.backgroundPlate,Background plate,背景プレート,배경 플레이트,背景底图
scene.originalImage,Original image,元画像,원본 이미지,原始图像
scene.maskEditorLabel,{{surface}} under {{name}} mask editor.,{{surface}}上の {{name}} マスクエディター。,{{surface}} 위의 {{name}} 마스크 편집기.,{{surface}}，上方为 {{name}} 蒙版编辑器。
scene.originalPreviewLabel,Original image stereo preview. Drag to test layer depth.,元画像のステレオプレビュー。ドラッグしてレイヤー深度を確認します。,원본 이미지 스테레오 미리보기. 드래그하여 레이어 깊이를 테스트하세요.,原始图像立体预览。拖动以测试图层深度。
scene.parallaxPreviewLabel,Parallax scene preview. Drag to move the camera.,パララックスシーンのプレビュー。ドラッグしてカメラを動かします。,패럴랙스 장면 미리보기. 드래그하여 카메라를 이동하세요.,视差场景预览。拖动以移动相机。
scene.processingPreviewLabel,Scene processing preview.,シーン処理プレビュー。,장면 처리 미리보기.,场景处理预览。
scene.loading,Loading layers...,レイヤーを読み込み中...,레이어 불러오는 중...,正在加载图层...
scene.addTo,Add to {{name}},{{name}} に追加,{{name}}에 추가,添加到 {{name}}
scene.eraseFrom,Erase from {{name}},{{name}} から消去,{{name}}에서 지우기,从 {{name}} 擦除
scene.reviewHint,Drag to preview depth - hover the build action to preview the mask,ドラッグして深度をプレビュー - 構築ボタンに合わせるとマスクをプレビュー,드래그하여 깊이 미리보기 - 구성 작업 위에 마우스를 올려 마스크 미리보기,拖动以预览深度，将鼠标悬停在构建操作上可预览蒙版
scene.dragHint,Drag image to move camera,画像をドラッグしてカメラを移動,이미지를 드래그하여 카메라 이동,拖动图像以移动相机
scene.anchorHint,Drag to reposition {{name}},ドラッグして {{name}} の位置を変更,드래그하여 {{name}} 위치 변경,拖动以重新定位 {{name}}
scene.anchorPreviewLabel,Parallax scene preview. Drag to reposition {{name}}.,パララックスシーンのプレビュー。ドラッグして {{name}} の位置を変更します。,패럴랙스 장면 미리보기. 드래그하여 {{name}} 위치를 변경하세요.,视差场景预览。拖动以重新定位 {{name}}。
scene.building,Building the background plate,背景プレートを構築中,배경 플레이트 구성 중,正在构建背景底图
scene.brushEditor,Brush editor for {{name}},{{name}} のブラシエディター,{{name}} 브러시 편집기,{{name}} 的画笔编辑器
layerName.object,Object {{number}},オブジェクト {{number}},오브젝트 {{number}},对象 {{number}}
layerName.area,Area {{number}},エリア {{number}},영역 {{number}},区域 {{number}}
layerName.depthPlane,Foreground depth plane,前景深度プレーン,전경 깊이 평면,前景深度平面
runtime.queued,Queued,待機中,대기 중,已排队
runtime.starting,Starting,開始中,시작 중,正在启动
runtime.complete,Complete,完了,완료,完成
runtime.failed,Failed,失敗,실패,失败
runtime.preparingImage,Preparing image,画像を準備中,이미지 준비 중,正在准备图像
runtime.describingObjects,Describing objects,オブジェクトを記述中,오브젝트 설명 중,正在识别对象
runtime.segmentingObjects,Segmenting objects,オブジェクトを分割中,오브젝트 분할 중,正在分割对象
runtime.buildingLayers,Building layers,レイヤーを構築中,레이어 구성 중,正在构建图层
runtime.joiningMasks,Joining masks,マスクを結合中,마스크 결합 중,正在合并蒙版
runtime.rebuildingBackground,Rebuilding background,背景を再構築中,배경 재구성 중,正在重建背景
runtime.estimatingDepth,Estimating depth,深度を推定中,깊이 추정 중,正在估算深度
runtime.preparingRefinement,Preparing refinement,調整を準備中,다듬기 준비 중,正在准备优化
runtime.refiningMask,Refining mask,マスクを調整中,마스크 다듬는 중,正在优化蒙版
runtime.savingRefinedMask,Saving refined mask,調整済みマスクを保存中,다듬은 마스크 저장 중,正在保存优化后的蒙版
runtime.describingBackground,Describing background,背景を記述中,배경 설명 중,正在描述背景
runtime.loadingPowerPaint,Loading PowerPaint,PowerPaint を読み込み中,PowerPaint 불러오는 중,正在加载 PowerPaint
runtime.redrawingBackground,Redrawing background,背景を再描画中,배경 다시 그리는 중,正在重绘背景
runtime.finalizingPlate,Finalizing plate,プレートを仕上げ中,플레이트 마무리 중,正在完成底图
runtime.preparingLayerInpaint,Preparing layer inpaint,レイヤーインペイントを準備中,레이어 인페인트 준비 중,正在准备图层修补
runtime.inpaintingLayer,Inpainting layer,レイヤーをインペイント中,레이어 인페인팅 중,正在修补图层
runtime.preparingAI,Preparing the local AI job.,ローカル AI ジョブを準備しています。,로컬 AI 작업을 준비하고 있습니다.,正在准备本地 AI 任务。
runtime.preparingInpaint,Preparing the local inpainting job.,ローカルインペイントジョブを準備しています。,로컬 인페인트 작업을 준비하고 있습니다.,正在准备本地修补任务。
runtime.waitingWorker,Waiting for the local AI worker.,ローカル AI ワーカーを待機しています。,로컬 AI 작업자를 기다리고 있습니다.,正在等待本地 AI 工作线程。
runtime.startingWorker,Starting the local AI worker.,ローカル AI ワーカーを開始しています。,로컬 AI 작업자를 시작하고 있습니다.,正在启动本地 AI 工作线程。
runtime.finished,Local processing finished.,ローカル処理が完了しました。,로컬 처리가 완료되었습니다.,本地处理已完成。
runtime.normalizing,Normalizing orientation and color.,向きと色を正規化しています。,방향과 색상을 정규화하고 있습니다.,正在标准化方向和颜色。
runtime.findingRegions,Finding distinct foreground regions.,個別の前景領域を検出しています。,서로 다른 전경 영역을 찾고 있습니다.,正在查找不同的前景区域。
runtime.creatingLayers,Creating {{count}} editable object layers.,編集可能なオブジェクトレイヤーを {{count}} 個作成しています。,편집 가능한 오브젝트 레이어 {{count}}개를 만들고 있습니다.,正在创建 {{count}} 个可编辑对象图层。
runtime.combiningMattes,Combining the selected foreground mattes.,選択した前景マットを結合しています。,선택한 전경 매트를 결합하고 있습니다.,正在合并所选前景遮片。
runtime.synthesizingPlate,Synthesizing the hidden background plate.,隠れた背景プレートを合成しています。,가려진 배경 플레이트를 합성하고 있습니다.,正在合成隐藏的背景底图。
runtime.findingObjects,Grounding DINO-B and SAM 2.1 are finding individual objects.,Grounding DINO-B と SAM 2.1 が個別のオブジェクトを検出しています。,Grounding DINO-B와 SAM 2.1이 개별 오브젝트를 찾고 있습니다.,Grounding DINO-B 和 SAM 2.1 正在查找各个对象。
runtime.proposingVocabulary,Qwen3-VL is proposing a scene vocabulary.,Qwen3-VL がシーンのオブジェクト語彙を提案しています。,Qwen3-VL이 장면 오브젝트 어휘를 제안하고 있습니다.,Qwen3-VL 正在建议场景对象词汇。
runtime.mappingDepth,Depth Anything 3 is mapping near and distant regions.,Depth Anything 3 が近距離と遠距離の領域をマッピングしています。,Depth Anything 3가 가까운 영역과 먼 영역을 매핑하고 있습니다.,Depth Anything 3 正在映射远近区域。
runtime.preparingCutouts,Preparing depth ordering and transparent cutouts.,深度順序と透明カットアウトを準備しています。,깊이 순서와 투명 컷아웃을 준비하고 있습니다.,正在准备深度顺序和透明剪切图。
runtime.savingLayer,Saving layer {{current}} of {{total}}.,レイヤー {{current}} / {{total}} を保存しています。,레이어 {{current}} / {{total}} 저장 중.,正在保存第 {{current}} 个图层，共 {{total}} 个。
runtime.croppingLayer,Cropping the original image around {{name}}.,{{name}} の周囲で元画像を切り抜いています。,{{name}} 주변의 원본 이미지를 자르고 있습니다.,正在围绕 {{name}} 裁剪原始图像。
runtime.refiningEdges,InSPyReNet is removing the local background and resolving soft edges.,InSPyReNet が局所背景を除去し、柔らかな境界を処理しています。,InSPyReNet이 로컬 배경을 제거하고 부드러운 가장자리를 처리하고 있습니다.,InSPyReNet 正在移除局部背景并处理柔和边缘。
runtime.aligningMask,Local mask-guided segmentation is aligning this foreground layer to image edges.,ローカルのマスクガイド分割がこの前景レイヤーを画像境界に合わせています。,로컬 마스크 유도 분할이 이 전경 레이어를 이미지 가장자리에 맞추고 있습니다.,本地蒙版引导分割正在将此前景图层与图像边缘对齐。
runtime.updatingLayer,Updating this layer's alpha and foreground cutout.,このレイヤーのアルファと前景カットアウトを更新しています。,이 레이어의 알파와 전경 컷아웃을 업데이트하고 있습니다.,正在更新此图层的透明度和前景剪切图。
runtime.combiningInpaintMask,Combining selected objects into the inpainting mask.,選択したオブジェクトをインペイントマスクに結合しています。,선택한 오브젝트를 인페인팅 마스크로 결합하고 있습니다.,正在将所选对象合并到修补蒙版中。
runtime.creatingPrompt,Qwen3-VL is creating a local background prompt.,Qwen3-VL がローカル背景プロンプトを作成しています。,Qwen3-VL이 로컬 배경 프롬프트를 만들고 있습니다.,Qwen3-VL 正在创建本地背景提示词。
runtime.loadingCheckpoints,Loading local checkpoints and preparing CPU/GPU offload before the first denoising step.,ローカルチェックポイントを読み込み、最初のノイズ除去前に CPU/GPU オフロードを準備しています。,로컬 체크포인트를 불러오고 첫 노이즈 제거 전에 CPU/GPU 오프로딩을 준비하고 있습니다.,正在加载本地检查点，并在首次去噪前准备 CPU/GPU 卸载。
runtime.denoisingStep,PowerPaint denoising step {{current}} of {{total}}.,PowerPaint ノイズ除去ステップ {{current}} / {{total}}。,PowerPaint 노이즈 제거 단계 {{current}} / {{total}}.,PowerPaint 去噪步骤 {{current}} / {{total}}。
runtime.lamaFilling,Big LaMa is filling the masked structure.,Big LaMa がマスクされた構造を補完しています。,Big LaMa가 마스크 처리된 구조를 채우고 있습니다.,Big LaMa 正在填充蒙版结构。
runtime.savingPlate,Saving the rebuilt background and scene metadata.,再構築した背景とシーンメタデータを保存しています。,재구성한 배경과 장면 메타데이터를 저장하고 있습니다.,正在保存重建的背景和场景元数据。
runtime.layerContext,Using the full composition as context for {{name}}.,コンポジション全体を {{name}} の参照として使用しています。,전체 컴포지션을 {{name}}의 컨텍스트로 사용하고 있습니다.,正在以完整合成画面作为 {{name}} 的上下文。
runtime.fullRedrawStep,PowerPaint full-redraw step {{current}} of {{total}} for {{name}}.,{{name}} の PowerPaint 全面再描画ステップ {{current}} / {{total}}。,{{name}}의 PowerPaint 전체 다시 그리기 단계 {{current}} / {{total}}.,正在对 {{name}} 执行 PowerPaint 完整重绘步骤 {{current}} / {{total}}。
runtime.preparingLayer,Preparing {{name}} for local refinement.,{{name}} のローカル調整を準備しています。,{{name}}의 로컬 다듬기를 준비하고 있습니다.,正在准备对 {{name}} 进行本地优化。
runtime.preparingTarget,Preparing {{name}} for full-redraw inpainting.,{{name}} の全面再描画インペイントを準備しています。,{{name}}의 전체 다시 그리기 인페인팅을 준비하고 있습니다.,正在准备对 {{name}} 进行完整重绘修补。
runtime.optionalPowerpaintWeights,Optional PowerPaint v2.1 weights are incomplete or not installed,任意の PowerPaint v2.1 ウェイトが不完全か、インストールされていません,선택적 PowerPaint v2.1 가중치가 불완전하거나 설치되지 않았습니다,可选的 PowerPaint v2.1 权重不完整或尚未安装
runtime.optionalPowerpaintRuntime,Optional PowerPaint v2.1 runtime is not installed,任意の PowerPaint v2.1 ランタイムがインストールされていません,선택적 PowerPaint v2.1 런타임이 설치되지 않았습니다,可选的 PowerPaint v2.1 运行时尚未安装
runtime.powerpaintInstalled,PowerPaint v2.1 full-redraw runtime installed,PowerPaint v2.1 全面再描画ランタイムはインストール済みです,PowerPaint v2.1 전체 다시 그리기 런타임이 설치되어 있습니다,PowerPaint v2.1 完整重绘运行时已安装
runtime.optionalQwenWeights,Optional Qwen3-VL weights are incomplete or not installed,任意の Qwen3-VL ウェイトが不完全か、インストールされていません,선택적 Qwen3-VL 가중치가 불완전하거나 설치되지 않았습니다,可选的 Qwen3-VL 权重不完整或尚未安装
error.serviceUnavailable,The local vision service is unavailable.,ローカルビジョンサービスを利用できません。,로컬 비전 서비스를 사용할 수 없습니다.,本地视觉服务不可用。
error.analysisFailed,Image analysis failed.,画像の解析に失敗しました。,이미지 분석에 실패했습니다.,图像分析失败。
error.finishMaskOperation,Finish the active mask edit or refinement before inpainting.,インペイントする前に、実行中のマスク編集または調整を完了してください。,인페인팅 전에 진행 중인 마스크 편집 또는 다듬기를 완료하세요.,请先完成当前蒙版编辑或优化，再进行修补。
error.selectForeground,Select at least one foreground object before building the scene.,シーンを構築する前に、前景オブジェクトを 1 つ以上選択してください。,장면을 구성하기 전에 전경 오브젝트를 하나 이상 선택하세요.,构建场景前请至少选择一个前景对象。
error.confirmSelected,Confirm every selected mask before inpainting: {{names}}.,インペイントする前に、選択したすべてのマスクを確定してください：{{names}}。,인페인팅 전에 선택한 모든 마스크를 확인하세요: {{names}}.,修补前请确认所有已选蒙版：{{names}}。
error.promptRequired,Enter a background prompt or finish installing Qwen3-VL before using PowerPaint full redraw.,PowerPaint の全面再描画を使用する前に、背景プロンプトを入力するか Qwen3-VL のインストールを完了してください。,PowerPaint 전체 다시 그리기를 사용하기 전에 배경 프롬프트를 입력하거나 Qwen3-VL 설치를 완료하세요.,使用 PowerPaint 完整重绘前，请输入背景提示词或完成 Qwen3-VL 安装。
error.backgroundInpaintFailed,Background inpainting failed.,背景のインペイントに失敗しました。,배경 인페인팅에 실패했습니다.,背景修补失败。
error.layerMissing,The selected scene layer no longer exists.,選択したシーンレイヤーは存在しません。,선택한 장면 레이어가 더 이상 존재하지 않습니다.,所选场景图层已不存在。
error.powerpaintRequired,Layer inpainting requires the local PowerPaint full-redraw model.,レイヤーインペイントにはローカル PowerPaint 全面再描画モデルが必要です。,레이어 인페인팅에는 로컬 PowerPaint 전체 다시 그리기 모델이 필요합니다.,图层修补需要本地 PowerPaint 完整重绘模型。
error.refineRequiresAI,Refine requires the Local AI engine and InSPyReNet.,調整にはローカル AI エンジンと InSPyReNet が必要です。,다듬기에는 로컬 AI 엔진과 InSPyReNet이 필요합니다.,优化需要本地 AI 引擎和 InSPyReNet。
error.refineFailed,The selected mask could not be refined.,選択したマスクを調整できませんでした。,선택한 마스크를 다듬지 못했습니다.,无法优化所选蒙版。
error.confirmFailed,The selected mask could not be confirmed.,選択したマスクを確定できませんでした。,선택한 마스크를 확인하지 못했습니다.,无法确认所选蒙版。
error.mergeFailed,The selected layers could not be merged.,選択したレイヤーを結合できませんでした。,선택한 레이어를 병합하지 못했습니다.,无法合并所选图层。
error.mergeHistoryFailed,The layer merge history could not be restored.,レイヤー結合の履歴を復元できませんでした。,레이어 병합 기록을 복원하지 못했습니다.,无法恢复图层合并历史。
error.saveMaskFailed,The edited mask could not be saved.,編集したマスクを保存できませんでした。,편집한 마스크를 저장하지 못했습니다.,无法保存编辑后的蒙版。
error.paintFirst,Paint an area before inpainting this layer.,このレイヤーをインペイントする前に領域を塗ってください。,이 레이어를 인페인팅하기 전에 영역을 칠하세요.,请先涂抹区域，再修补此图层。
error.layerInpaintFailed,The selected layer could not be inpainted.,選択したレイヤーをインペイントできませんでした。,선택한 레이어를 인페인팅하지 못했습니다.,无法修补所选图层。
error.undoInpaintFailed,The layer inpaint could not be undone.,レイヤーのインペイントを元に戻せませんでした。,레이어 인페인트를 실행 취소하지 못했습니다.,无法撤销图层修补。
error.redoInpaintFailed,The layer inpaint could not be redone.,レイヤーのインペイントをやり直せませんでした。,레이어 인페인트를 다시 실행하지 못했습니다.,无法重做图层修补。
error.fileOperationFailed,The file operation failed.,ファイル操作に失敗しました。,파일 작업에 실패했습니다.,文件操作失败。
error.canvasNotReady,The scene canvas is not ready.,シーンキャンバスの準備ができていません。,장면 캔버스가 준비되지 않았습니다.,场景画布尚未就绪。
error.confirmReset,Discard the current editor state and return to the image upload screen?,現在の編集状態を破棄して画像アップロード画面に戻りますか？,현재 편집 상태를 버리고 이미지 업로드 화면으로 돌아가시겠습니까?,要放弃当前编辑状态并返回图像上传界面吗？
error.loadAsset,Could not load {{source}},{{source}} を読み込めませんでした,{{source}}을(를) 불러오지 못했습니다,无法加载 {{source}}
error.loadAssets,Could not load scene assets.,シーンアセットを読み込めませんでした。,장면 에셋을 불러오지 못했습니다.,无法加载场景资源。
error.videoUnsupported,This runtime cannot encode demo video.,このランタイムではデモ動画をエンコードできません。,이 런타임에서는 데모 동영상을 인코딩할 수 없습니다.,此运行环境无法编码演示视频。
error.videoFormatUnsupported,This runtime has no supported MP4 or WebM encoder.,このランタイムには対応する MP4 または WebM エンコーダーがありません。,이 런타임에는 지원되는 MP4 또는 WebM 인코더가 없습니다.,此运行环境没有受支持的 MP4 或 WebM 编码器。
error.videoEncoding,Demo video encoding failed.,デモ動画のエンコードに失敗しました。,데모 동영상 인코딩에 실패했습니다.,演示视频编码失败。
error.videoAssetsNotReady,The scene images are not ready for video export.,動画を書き出すためのシーン画像が準備できていません。,동영상 내보내기에 필요한 장면 이미지가 준비되지 않았습니다.,场景图像尚未准备好，无法导出视频。
error.videoEmpty,The video encoder produced an empty file.,動画エンコーダーが空のファイルを生成しました。,동영상 인코더가 빈 파일을 만들었습니다.,视频编码器生成了空文件。
error.pngExport,PNG export failed.,PNG の書き出しに失敗しました。,PNG 내보내기에 실패했습니다.,PNG 导出失败。
error.waitForImages,Wait for the scene images to finish loading.,シーン画像の読み込みが完了するまでお待ちください。,장면 이미지 로딩이 끝날 때까지 기다리세요.,请等待场景图像加载完成。
error.compositionNotReady,The full scene composition is not ready.,シーン全体のコンポジションが準備できていません。,전체 장면 컴포지션이 준비되지 않았습니다.,完整场景合成画面尚未就绪。
error.compositionEncoding,The composition could not be encoded.,コンポジションをエンコードできませんでした。,컴포지션을 인코딩하지 못했습니다.,无法编码合成画面。
error.chooseMask,Choose a mask before applying brush changes.,ブラシ変更を適用する前にマスクを選択してください。,브러시 변경 사항을 적용하기 전에 마스크를 선택하세요.,应用画笔更改前请选择蒙版。
error.editableMaskLoad,Could not load the editable mask.,編集可能なマスクを読み込めませんでした。,편집 가능한 마스크를 불러오지 못했습니다.,无法加载可编辑蒙版。
error.prepareMaskEditor,Could not prepare the mask editor.,マスクエディターを準備できませんでした。,마스크 편집기를 준비하지 못했습니다.,无法准备蒙版编辑器。
error.maskEditingUnavailable,Mask editing is unavailable in this renderer.,このレンダラーではマスクを編集できません。,이 렌더러에서는 마스크 편집을 사용할 수 없습니다.,此渲染器无法进行蒙版编辑。
error.waitMask,Wait for the mask to finish loading.,マスクの読み込みが完了するまでお待ちください。,마스크 로딩이 끝날 때까지 기다리세요.,请等待蒙版加载完成。
error.maskExportUnavailable,Mask export is unavailable in this renderer.,このレンダラーではマスクを書き出せません。,이 렌더러에서는 마스크 내보내기를 사용할 수 없습니다.,此渲染器无法导出蒙版。
error.maskEncoding,The edited mask could not be encoded.,編集したマスクをエンコードできませんでした。,편집한 마스크를 인코딩하지 못했습니다.,无法编码编辑后的蒙版。
error.processingNoResult,Local processing completed without a project result.,ローカル処理は完了しましたが、プロジェクト結果がありません。,로컬 처리가 완료되었지만 프로젝트 결과가 없습니다.,本地处理已完成，但没有返回项目结果。
error.http,Local service failed with HTTP {{status}}.,ローカルサービスで HTTP {{status}} エラーが発生しました。,로컬 서비스에서 HTTP {{status}} 오류가 발생했습니다.,本地服务失败，HTTP 状态码为 {{status}}。
error.unsupportedImage,"Use PNG, JPEG, or WebP.",PNG、JPEG、WebP を使用してください。,"PNG, JPEG 또는 WebP를 사용하세요.",请使用 PNG、JPEG 或 WebP。
error.imageTooLarge,Images are limited to 40 MB.,画像は 40 MB までです。,이미지는 최대 40 MB까지 지원됩니다.,图像大小上限为 40 MB。
error.decodeFailed,The selected file is not a readable image.,選択したファイルは読み取り可能な画像ではありません。,선택한 파일은 읽을 수 있는 이미지가 아닙니다.,所选文件不是可读取的图像。
error.projectMissing,The project no longer exists.,プロジェクトは存在しません。,프로젝트가 더 이상 존재하지 않습니다.,项目已不存在。
error.jobMissing,The processing job no longer exists.,処理ジョブは存在しません。,처리 작업이 더 이상 존재하지 않습니다.,处理任务已不存在。
error.assetMissing,The project asset does not exist.,プロジェクトアセットは存在しません。,프로젝트 에셋이 존재하지 않습니다.,项目资源不存在。
error.projectTooLarge,Project packages are limited to 512 MB.,プロジェクトパッケージは 512 MB までです。,프로젝트 패키지는 최대 512 MB까지 지원됩니다.,项目包大小上限为 512 MB。
error.aiStackMissing,"The local AI stack is not installed. Run scripts/setup-ai.ps1, then restart Stereovisor.",ローカル AI スタックがインストールされていません。scripts/setup-ai.ps1 を実行して Stereovisor を再起動してください。,로컬 AI 스택이 설치되지 않았습니다. scripts/setup-ai.ps1을 실행한 다음 Stereovisor를 다시 시작하세요.,本地 AI 堆栈尚未安装。请运行 scripts/setup-ai.ps1，然后重启 Stereovisor。
native.fileMenu,File,ファイル,파일,文件
native.editMenu,Edit,編集,편집,编辑
native.view,View,表示,보기,视图
native.helpMenu,Help,ヘルプ,도움말,帮助
native.options,Options...,オプション...,옵션...,选项...
native.about,About Stereovisor,Stereovisor について,Stereovisor 정보,关于 Stereovisor
native.aboutVersion,Version,バージョン,버전,版本
native.aboutDescription,Local-first image-to-parallax desktop studio.,ローカル優先の画像から視差を作成するデスクトップスタジオ。,로컬 우선 이미지-패럴랙스 데스크톱 스튜디오.,本地优先的图像转视差桌面工作室。
native.ok,OK,OK,확인,确定
native.exit,Exit,終了,종료,退出
native.undo,Undo,元に戻す,실행 취소,撤销
native.redo,Redo,やり直す,다시 실행,重做
native.cut,Cut,切り取り,잘라내기,剪切
native.copy,Copy,コピー,복사,复制
native.paste,Paste,貼り付け,붙여넣기,粘贴
native.selectAll,Select All,すべて選択,모두 선택,全选
native.reload,Reload,再読み込み,새로 고침,重新加载
native.forceReload,Force Reload,強制再読み込み,강제 새로 고침,强制重新加载
native.toggleDevTools,Toggle Developer Tools,開発者ツールを切り替え,개발자 도구 전환,切换开发者工具
native.resetZoom,Reset Zoom,ズームをリセット,확대/축소 재설정,重置缩放
native.zoomIn,Zoom In,ズームイン,확대,放大
native.zoomOut,Zoom Out,ズームアウト,축소,缩小
native.toggleFullscreen,Toggle Full Screen,フルスクリーン切り替え,전체 화면 전환,切换全屏
native.pngImage,PNG image,PNG 画像,PNG 이미지,PNG 图像
native.project,Stereovisor project,Stereovisor プロジェクト,Stereovisor 프로젝트,Stereovisor 项目
native.mp4Video,MP4 video,MP4 動画,MP4 동영상,MP4 视频
native.webmVideo,WebM video,WebM 動画,WebM 동영상,WebM 视频
native.onlyPng,Only PNG export is supported,PNG の書き出しのみ対応しています,PNG 내보내기만 지원됩니다,仅支持导出 PNG
native.emptyExport,The exported file is empty,書き出されたファイルが空です,내보낸 파일이 비어 있습니다,导出的文件为空
